VCF_ID	Haul_ID
Ble21_21_a.CEL	haul_0010
Ble21_23_a.CEL	haul_0007
Ble21_24_a.CEL	haul_0003
Ble21_28_a.CEL	haul_0008
Ble21_34_a.CEL	haul_0074
Ble21_36_a.CEL	haul_0008
Ble22_12_a.CEL	haul_0003
Ble22_23_a.CEL	haul_0005
Ble22_25_a.CEL	haul_0010
Ble22_30_a.CEL	haul_0007
Ble22_32_a.CEL	haul_0078
Ble22_33_a.CEL	haul_0009
Ble22_36_a.CEL	haul_0008
Ble22_37_a.CEL	haul_0010
Ble22_41_a.CEL	haul_0040
Ble22_45_a.CEL	haul_0008
Ble22_6_a.CEL	haul_0007
Ble23_14_a.CEL	haul_0035
Ble23_1_a.CEL	haul_0009
Ble23_20_a.CEL	haul_0073
Ble23_24_a.CEL	haul_0004
Ble23_26_a.CEL	haul_0001
Ble23_27_a.CEL	haul_0002
Ble23_30_a.CEL	haul_0004
Ble23_33_a.CEL	haul_0002
Ble23_34_a.CEL	haul_0002
Ble23_37_a.CEL	haul_0008
Ble23_44_a.CEL	haul_0008
Ble23_49_a.CEL	haul_0003
Ble23_6_a.CEL	haul_0005
Ble23_8_a.CEL	haul_0008
Ble26_18_a.CEL	haul_0031
Ble26_1_a.CEL	haul_0006
Ble26_20_a.CEL	haul_0072
Ble26_29_a.CEL	haul_0035
Ble26_30_a.CEL	haul_0036
Ble26_34_a.CEL	haul_0040
Ble26_37_a.CEL	haul_0008
Ble26_39_a.CEL	haul_0010
Ble26_43_a.CEL	haul_0035
Ble26_7_a.CEL	haul_0079
Ble26_9_a.CEL	haul_0001
Ble27_10_a.CEL	haul_0002
Ble27_18_a.CEL	haul_0007
Ble27_1_a.CEL	haul_0076
Ble27_23_a.CEL	haul_0002
Ble27_27_a.CEL	haul_0071
Ble27_30_a.CEL	haul_0079
Ble27_36_a.CEL	haul_0036
Ble27_43_a.CEL	haul_0033
Ble27_45_a.CEL	haul_0076
Ble27_46_a.CEL	haul_0005
Ble27_49_a.CEL	haul_0078
Ble27_51_a.CEL	haul_0073
Ble27_7_a.CEL	haul_0008
Ble28_13_a.CEL	haul_0007
Ble28_1_a.CEL	haul_0005
Ble28_24_a.CEL	haul_0071
Ble28_25_a.CEL	haul_0073
Ble28_29_a.CEL	haul_0001
Ble28_37_a.CEL	haul_0010
Ble28_47_a.CEL	haul_0003
Ble28_4_a.CEL	haul_0004
Ble28_52_a.CEL	haul_0031
Ble28_54_a.CEL	haul_0078
Ble28_55_a.CEL	haul_0039
Ble28_5_a.CEL	haul_0075
Ble28_9_a.CEL	haul_0031
Ble29_18.CEL	haul_0009
Ble29_27.CEL	haul_0006
Ble29_31.CEL	haul_0010
Ble29_35.CEL	haul_0038
Ble29_38.CEL	haul_0075
Ble29_42.CEL	haul_0034
Ble29_45.CEL	haul_0073
Ble29_56.CEL	haul_0001
Ble29_57.CEL	haul_0003
Ble29_58.CEL	haul_0035
Ble29_59.CEL	haul_0004
Ble29_61.CEL	haul_0005
Ble29_66.CEL	haul_0033
Ble29_77.CEL	haul_0009
Ble29_79.CEL	haul_0007
Ble29_9.CEL	haul_0077
Ble31_28_a.CEL	haul_0077
Ble31_39_a.CEL	haul_0002
Ble43_12.CEL	haul_0003
Ble43_19.CEL	haul_0006
Ble43_24.CEL	haul_0075
Ble43_28.CEL	haul_0078
Ble43_30.CEL	haul_0001
Ble43_36.CEL	haul_0007
Ble43_4.CEL	haul_0038
Ble43_40.CEL	haul_0006
Ble44_15.CEL	haul_0002
Ble44_17.CEL	haul_0040
Ble44_19.CEL	haul_0078
Ble44_22.CEL	haul_0007
Ble44_24.CEL	haul_0001
Ble44_27.CEL	haul_0003
Ble44_36.CEL	haul_0005
Ble44_7.CEL	haul_0033
Ble45_13.CEL	haul_0077
Ble45_15.CEL	haul_0001
Ble45_17.CEL	haul_0010
Ble46_19.CEL	haul_0004
Ble46_20.CEL	haul_0076
Ble46_22.CEL	haul_0009
Ble46_5.CEL	haul_0077
Ble46_6.CEL	haul_0005
GA-v1_12.CEL	haul_0060
GA-v1_26.CEL	haul_0069
GA-v1_30.CEL	haul_0062
GA-v1_44.CEL	haul_0054
GA-v1_8.CEL	haul_0053
GA-v6_26.CEL	haul_0025
GA-v6_34.CEL	haul_0030
GA-v6_40.CEL	haul_0079
GA-v6_45.CEL	haul_0030
GA-v6_7.CEL	haul_0067
GA-v6_76.CEL	haul_0026
GA-v6_85.CEL	haul_0051
GA-v6_93.CEL	haul_0064
GA_v22_11.CEL	haul_0029
GA_v22_18.CEL	haul_0064
GA_v22_22.CEL	haul_0059
GA_v22_23.CEL	haul_0034
GA_v22_25.CEL	haul_0034
GA_v22_3.CEL	haul_0077
GA_v22_32.CEL	haul_0037
GA_v22_37.CEL	haul_0028
GA_v22_42.CEL	haul_0060
GA_v22_43.CEL	haul_0026
GA_v22_52.CEL	haul_0025
GA_v23_12.CEL	haul_0065
GA_v23_6.CEL	haul_0033
GA_v23_7.CEL	haul_0053
GA_v25_11.CEL	haul_0035
GA_v25_17.CEL	haul_0057
GA_v25_29.CEL	haul_0075
GA_v25_41.CEL	haul_0069
GA_v25_49.CEL	haul_0028
GA_v26_13.CEL	haul_0023
GA_v26_19.CEL	haul_0076
GA_v26_25.CEL	haul_0057
GA_v26_29.CEL	haul_0064
GA_v26_3.CEL	haul_0079
GA_v26_4.CEL	haul_0057
GA_v27_20.CEL	haul_0080
GA_v27_22.CEL	haul_0067
GA_v27_24.CEL	haul_0065
Gav02_10_a.CEL	haul_0059
Gav02_25_a.CEL	haul_0058
Gav02_29_a.CEL	haul_0059
Gav02_34_a.CEL	haul_0057
Gav02_42_a.CEL	haul_0024
Gav02_6_a.CEL	haul_0052
Gav02_8_a.CEL	haul_0029
Gav03_27_a.CEL	haul_0059
Gav03_48_a.CEL	haul_0059
Gav04_12_a.CEL	haul_0035
Gav04_14_a.CEL	haul_0038
Gav04_20_a.CEL	haul_0065
Gav04_25_a.CEL	haul_0040
Gav04_26_a.CEL	haul_0051
Gav04_30_a.CEL	haul_0061
Gav04_32_a.CEL	haul_0079
Gav04_35_a.CEL	haul_0026
Gav04_51_a.CEL	haul_0040
Gav04_8_a.CEL	haul_0051
Gav05_13_a.CEL	haul_0056
Gav05_21_a.CEL	haul_0035
Gav05_26_a.CEL	haul_0057
Gav05_27_a.CEL	haul_0038
Gav05_36_a.CEL	haul_0028
Gav05_37_a.CEL	haul_0030
Gav05_49_a.CEL	haul_0054
Gav07_16_a.CEL	haul_0031
Gav07_31_a.CEL	haul_0058
Gav07_58_a.CEL	haul_0070
Gav07_77_a.CEL	haul_0024
Gav07_80_a.CEL	haul_0051
Gav07_8_a.CEL	haul_0077
Gav07_9_a.CEL	haul_0074
Gav08_26_a.CEL	haul_0030
Gav08_29_a.CEL	haul_0068
Gav08_39_a.CEL	haul_0024
Gav08_40_a.CEL	haul_0025
Gav08_54_a.CEL	haul_0051
Gav08_9_a.CEL	haul_0077
Gav09_29_a.CEL	haul_0029
Gav09_32_a.CEL	haul_0055
Gav09_53_a.CEL	haul_0080
Gav09_59_a.CEL	haul_0057
Gav09_65_a.CEL	haul_0075
Gav09_6_a.CEL	haul_0021
Gav09_9_a.CEL	haul_0053
Gav10_24_a.CEL	haul_0066
Gav10_26_a.CEL	haul_0076
Gav10_31_a.CEL	haul_0061
Gav10_49_a.CEL	haul_0021
Gav10_53_a.CEL	haul_0051
Gav10_56_a.CEL	haul_0067
Gav10_69_a.CEL	haul_0039
Gav10_76_a.CEL	haul_0062
Gav10_77_a.CEL	haul_0070
Gav10_79_a.CEL	haul_0065
Gav10_7_a.CEL	haul_0054
Gav11_27_a.CEL	haul_0053
Gav11_37_a.CEL	haul_0066
Gav11_38_a.CEL	haul_0059
Gav11_58_a.CEL	haul_0037
Gav11_60_a.CEL	haul_0065
Gav11_66_a.CEL	haul_0026
Gav11_73_a.CEL	haul_0073
Gav11_84_a.CEL	haul_0032
Gav11_88_a.CEL	haul_0025
Gav12_041.CEL	haul_0021
Gav12_045.CEL	haul_0028
Gav12_050.CEL	haul_0022
Gav12_058.CEL	haul_0070
Gav12_064.CEL	haul_0030
Gav12_065.CEL	haul_0030
Gav12_069.CEL	haul_0065
Gav12_072.CEL	haul_0062
Gav12_10_a.CEL	haul_0024
Gav12_15_a.CEL	haul_0072
Gav12_17_a.CEL	haul_0075
Gav12_23_a.CEL	haul_0056
Gav12_25_a.CEL	haul_0059
Gav12_27_a.CEL	haul_0066
Gav14_002.CEL	haul_0055
Gav14_008.CEL	haul_0051
Gav14_016.CEL	haul_0060
Gav14_020.CEL	haul_0059
Gav14_038.CEL	haul_0071
Gav17_001.CEL	haul_0071
Gav17_002.CEL	haul_0076
Gav17_003.CEL	haul_0073
Gav17_004.CEL	haul_0012
Gav17_006.CEL	haul_0048
Gav17_007.CEL	haul_0043
Gav17_008.CEL	haul_0035
Gav17_010.CEL	haul_0050
Gav17_012.CEL	haul_0048
Gav17_014.CEL	haul_0011
Gav17_015.CEL	haul_0075
Gav17_017.CEL	haul_0022
Gav17_018.CEL	haul_0032
Gav17_019.CEL	haul_0016
Gav17_021.CEL	haul_0050
Gav17_024.CEL	haul_0033
Gav17_026.CEL	haul_0016
Gav17_027.CEL	haul_0072
Gav17_028.CEL	haul_0063
Gav17_032.CEL	haul_0073
Gav17_034.CEL	haul_0049
Gav17_035.CEL	haul_0048
Gav17_037.CEL	haul_0020
Gav17_039.CEL	haul_0079
Gav17_040.CEL	haul_0048
Gav17_041.CEL	haul_0073
Gav17_042.CEL	haul_0042
Gav17_043.CEL	haul_0080
Gav17_044.CEL	haul_0049
Gav17_045.CEL	haul_0061
Gav17_048.CEL	haul_0065
Gav17_049.CEL	haul_0032
Gav17_050.CEL	haul_0080
Gav17_051.CEL	haul_0066
Gav17_052.CEL	haul_0074
Gav17_053.CEL	haul_0018
Gav17_054.CEL	haul_0032
Gav17_055.CEL	haul_0035
Gav17_056.CEL	haul_0029
Gav17_057.CEL	haul_0076
Gav17_058.CEL	haul_0061
Gav17_059.CEL	haul_0049
Gav18_001.CEL	haul_0080
Gav18_003.CEL	haul_0044
Gav18_004.CEL	haul_0017
Gav18_005.CEL	haul_0021
Gav18_006.CEL	haul_0027
Gav18_007.CEL	haul_0042
Gav18_008.CEL	haul_0068
Gav18_009.CEL	haul_0049
Gav18_010.CEL	haul_0069
Gav18_011.CEL	haul_0031
Gav18_012.CEL	haul_0031
Gav18_013.CEL	haul_0044
Gav18_015.CEL	haul_0061
Gav18_017.CEL	haul_0068
Gav18_018.CEL	haul_0032
Gav18_020.CEL	haul_0079
Gav18_021.CEL	haul_0077
Gav18_022.CEL	haul_0077
Gav18_023.CEL	haul_0039
Gav18_024.CEL	haul_0042
Gav18_025.CEL	haul_0038
Gav18_026.CEL	haul_0065
Gav18_027.CEL	haul_0065
Gav18_028.CEL	haul_0044
Gav18_029.CEL	haul_0072
Gav18_030.CEL	haul_0066
Gav18_031.CEL	haul_0065
Gav18_032.CEL	haul_0014
Gav18_033.CEL	haul_0078
Gav18_034.CEL	haul_0076
Gav18_035.CEL	haul_0065
Gav18_037.CEL	haul_0046
Gav18_038.CEL	haul_0076
Gav18_040.CEL	haul_0065
Gav18_041.CEL	haul_0034
Gav18_042.CEL	haul_0045
Gav18_043.CEL	haul_0045
Gav18_044.CEL	haul_0074
Gav18_045.CEL	haul_0045
Gav18_046.CEL	haul_0036
Gav18_047.CEL	haul_0073
Gav18_049.CEL	haul_0050
Gav18_050.CEL	haul_0034
Gav18_051.CEL	haul_0072
Gav18_054.CEL	haul_0047
Gav18_055.CEL	haul_0065
Gav18_056.CEL	haul_0079
Gav19_001.CEL	haul_0067
Gav19_002.CEL	haul_0042
Gav19_003.CEL	haul_0071
Gav19_005.CEL	haul_0046
Gav19_006.CEL	haul_0064
Gav19_007.CEL	haul_0064
Gav19_008.CEL	haul_0045
Gav19_009.CEL	haul_0073
Gav19_010.CEL	haul_0064
Gav19_011.CEL	haul_0050
Gav19_012.CEL	haul_0013
Gav19_013.CEL	haul_0037
Gav19_014.CEL	haul_0044
Gav19_015.CEL	haul_0040
Gav19_016.CEL	haul_0040
Gav19_017.CEL	haul_0046
Gav19_018.CEL	haul_0039
Gav19_019.CEL	haul_0069
Gav19_020.CEL	haul_0031
Gav19_021.CEL	haul_0078
Gav19_022.CEL	haul_0070
Gav19_023.CEL	haul_0048
Gav19_025.CEL	haul_0072
Gav19_026.CEL	haul_0071
Gav19_027.CEL	haul_0029
Gav19_028.CEL	haul_0019
Gav19_029.CEL	haul_0032
Gav19_030.CEL	haul_0042
Gav19_031.CEL	haul_0038
Gav19_032.CEL	haul_0074
Gav19_033.CEL	haul_0068
Gav19_034.CEL	haul_0064
Gav19_035.CEL	haul_0062
Gav19_36_a.CEL	haul_0043
Gav19_37_a.CEL	haul_0047
Gav19_38_a.CEL	haul_0046
Gav19_39_a.CEL	haul_0077
Gav19_41_a.CEL	haul_0044
Gav19_42_a.CEL	haul_0069
Gav19_44_a.CEL	haul_0037
Gav19_45_a.CEL	haul_0040
Gav19_47_a.CEL	haul_0041
Gav19_48_a.CEL	haul_0034
Gav19_49_a.CEL	haul_0047
Gav19_50_a.CEL	haul_0068
Gav19_51_a.CEL	haul_0049
Gav19_52_a.CEL	haul_0046
Gav19_53_a.CEL	haul_0033
Gav20_16_a.CEL	haul_0050
Gav20_1_a.CEL	haul_0011
Gav20_24_a.CEL	haul_0069
Gav20_25_a.CEL	haul_0013
Gav20_26_a.CEL	haul_0068
Gav20_3_a.CEL	haul_0033
Gav20_43_a.CEL	haul_0040
Gav20_44_a.CEL	haul_0080
Gav20_45_a.CEL	haul_0048
Gav20_47_a.CEL	haul_0016
Gav20_48_a.CEL	haul_0013
Gav20_50_a.CEL	haul_0067
Gav20_53_a.CEL	haul_0042
Gav20_54_a.CEL	haul_0075
Gav20_55_a.CEL	haul_0032
Gav20_56_a.CEL	haul_0044
Gav20_57_a.CEL	haul_0035
Gav20_60_a.CEL	haul_0071
Gav20_62_a.CEL	haul_0041
Gav20_63_a.CEL	haul_0075
Gav20_64_a.CEL	haul_0077
Gav20_65_a.CEL	haul_0066
Gav20_6_a.CEL	haul_0080
Gav20_70_a.CEL	haul_0070
Gav20_71_a.CEL	haul_0026
Gav20_73_a.CEL	haul_0080
Gav20_74_a.CEL	haul_0040
Gav20_76_a.CEL	haul_0029
Gav20_78_a.CEL	haul_0039
Gav20_7_a.CEL	haul_0061
Gav20_8_a.CEL	haul_0078
Kal05_25_a.CEL	haul_0004
Kal11_16.CEL	haul_0052
Kal11_29.CEL	haul_0055
Kal11_32.CEL	haul_0027
Kal11_35.CEL	haul_0060
Kal11_48.CEL	haul_0076
Kal11_58.CEL	haul_0063
Kal11_8.CEL	haul_0068
Kal12_12.CEL	haul_0073
Kal12_4.CEL	haul_0037
Kal6_102.CEL	haul_0079
Kal6_70.CEL	haul_0006
Kal6_78.CEL	haul_0009
Kal6_86.CEL	haul_0007
Kal6_87.CEL	haul_0005
Kal6_88.CEL	haul_0079
NoB01_11_a.CEL	haul_0016
NoB01_13_a.CEL	haul_0034
NoB01_14_a.CEL	haul_0056
NoB01_16_a.CEL	haul_0013
NoB01_19_a.CEL	haul_0071
NoB01_22_a.CEL	haul_0079
NoB01_25_a.CEL	haul_0076
NoB01_26_a.CEL	haul_0066
NoB01_29_a.CEL	haul_0041
NoB01_2_a.CEL	haul_0017
NoB01_32_a.CEL	haul_0080
NoB01_38_a.CEL	haul_0054
NoB01_39_a.CEL	haul_0070
NoB01_41_a.CEL	haul_0016
NoB01_42_a.CEL	haul_0069
NoB01_43_a.CEL	haul_0055
NoB01_45_a.CEL	haul_0058
NoB01_46_a.CEL	haul_0071
NoB01_47_a.CEL	haul_0018
NoB01_6_a.CEL	haul_0069
NoB01_8_a.CEL	haul_0050
NoB01_9_a.CEL	haul_0044
NoB02_12_a.CEL	haul_0020
NoB02_14_a.CEL	haul_0045
NoB02_19_a.CEL	haul_0019
NoB02_21_a.CEL	haul_0014
NoB02_28_a.CEL	haul_0053
NoB02_34_a.CEL	haul_0053
NoB02_35_a.CEL	haul_0077
NoB02_48_a.CEL	haul_0060
NoB02_5_a.CEL	haul_0056
NoB02_7_a.CEL	haul_0056
NoB04_11_a.CEL	haul_0040
NoB04_23_a.CEL	haul_0049
NoB04_29_a.CEL	haul_0061
NoB04_2_a.CEL	haul_0062
NoB04_31_a.CEL	haul_0037
NoB04_34_a.CEL	haul_0019
NoB04_36_a.CEL	haul_0068
NoB04_37_a.CEL	haul_0049
NoB04_39_a.CEL	haul_0050
NoB04_3_a.CEL	haul_0038
NoB04_40_a.CEL	haul_0069
NoB04_6_a.CEL	haul_0041
NoB04_7_a.CEL	haul_0063
NoB04_9_a.CEL	haul_0042
NoB05_12_a.CEL	haul_0067
NoB05_13_a.CEL	haul_0067
NoB05_2_a.CEL	haul_0067
NoB05_6_a.CEL	haul_0018
NoB05_7_a.CEL	haul_0061
NoB05_8_a.CEL	haul_0012
NoB07_11_a.CEL	haul_0072
NoB07_12_a.CEL	haul_0049
NoB07_16_a.CEL	haul_0069
NoB07_19_a.CEL	haul_0035
NoB07_1_a.CEL	haul_0019
NoB07_21_a.CEL	haul_0057
NoB07_22_a.CEL	haul_0046
NoB07_23_a.CEL	haul_0062
NoB07_24_a.CEL	haul_0056
NoB07_25_a.CEL	haul_0065
NoB07_26_a.CEL	haul_0037
NoB07_27_a.CEL	haul_0074
NoB07_2_a.CEL	haul_0066
NoB07_31_a.CEL	haul_0041
NoB07_33_a.CEL	haul_0058
NoB07_34_a.CEL	haul_0065
NoB07_3_a.CEL	haul_0080
NoB07_5_a.CEL	haul_0012
NoB07_7_a.CEL	haul_0075
NoB07_8_a.CEL	haul_0078
NoB07_9_a.CEL	haul_0058
NoB08_13_a.CEL	haul_0048
NoB08_14_a.CEL	haul_0070
NoB08_15_a.CEL	haul_0069
NoB08_22_a.CEL	haul_0019
NoB08_24_a.CEL	haul_0049
NoB08_27_a.CEL	haul_0051
NoB08_40_a.CEL	haul_0041
NoB08_7_a.CEL	haul_0048
NoB08_8_a.CEL	haul_0080
NoB09_11_a.CEL	haul_0060
NoB09_14_a.CEL	haul_0058
NoB09_15_a.CEL	haul_0077
NoB09_16_a.CEL	haul_0034
NoB09_17_a.CEL	haul_0044
NoB09_18_a.CEL	haul_0015
NoB09_23_a.CEL	haul_0077
NoB09_24_a.CEL	haul_0059
NoB09_28_a.CEL	haul_0046
NoB09_34_a.CEL	haul_0057
NoB09_35_a.CEL	haul_0060
NoB09_36_a.CEL	haul_0056
NoB09_37_a.CEL	haul_0064
NoB09_38_a.CEL	haul_0054
NoB09_41_a.CEL	haul_0068
NoB09_42_a.CEL	haul_0070
NoB09_43_a.CEL	haul_0060
NoB09_7_a.CEL	haul_0049
NoB10_10_a.CEL	haul_0054
NoB10_21_a.CEL	haul_0079
NoB10_25_a.CEL	haul_0046
NoB10_2_a.CEL	haul_0044
NoB10_30_a.CEL	haul_0043
NoB10_37_a.CEL	haul_0080
NoB10_39_a.CEL	haul_0080
NoB10_44_a.CEL	haul_0053
NoB10_46_a.CEL	haul_0079
NoB10_4_a.CEL	haul_0079
NoB10_6_a.CEL	haul_0068
NoB10_7_a.CEL	haul_0036
NoB10_9_a.CEL	haul_0042
NoB11_12_a.CEL	haul_0067
NoB11_13_a.CEL	haul_0039
NoB11_14_a.CEL	haul_0032
NoB11_16_a.CEL	haul_0067
NoB11_17_a.CEL	haul_0075
NoB11_18_a.CEL	haul_0051
NoB11_1_a.CEL	haul_0071
NoB11_22_a.CEL	haul_0064
NoB11_26_a.CEL	haul_0066
NoB11_27_a.CEL	haul_0015
NoB11_28_a.CEL	haul_0041
NoB11_29_a.CEL	haul_0012
NoB11_30_a.CEL	haul_0061
NoB11_31_a.CEL	haul_0042
NoB11_32_a.CEL	haul_0063
NoB11_34_a.CEL	haul_0080
NoB11_35_a.CEL	haul_0049
NoB11_37_a.CEL	haul_0046
NoB11_38_a.CEL	haul_0040
NoB11_43_a.CEL	haul_0075
NoB11_44_a.CEL	haul_0068
NoB11_45_a.CEL	haul_0062
NoB11_48_a.CEL	haul_0051
NoB11_52_a.CEL	haul_0019
NoB11_53_a.CEL	haul_0016
NoB11_56_a.CEL	haul_0019
NoB11_58_a.CEL	haul_0047
NoB11_59_a.CEL	haul_0059
NoB11_60_a.CEL	haul_0019
NoB11_62_a.CEL	haul_0079
NoB11_8_a.CEL	haul_0072
NoB13_1.CEL	haul_0017
NoB13_24.CEL	haul_0070
NoB13_26.CEL	haul_0072
NoB13_31.CEL	haul_0068
NoB13_33.CEL	haul_0058
NoB13_34.CEL	haul_0018
NoB13_36.CEL	haul_0044
NoB13_37.CEL	haul_0019
NoB13_38.CEL	haul_0050
NoB13_44.CEL	haul_0076
NoB14_10_a.CEL	haul_0060
NoB14_17_a.CEL	haul_0079
NoB14_20_a.CEL	haul_0019
NoB14_21_a.CEL	haul_0066
NoB14_23_a.CEL	haul_0060
NoB14_25_a.CEL	haul_0049
NoB14_28_a.CEL	haul_0014
NoB14_31_a.CEL	haul_0064
NoB14_34_a.CEL	haul_0015
NoB14_36_a.CEL	haul_0061
NoB14_3_a.CEL	haul_0017
NoB14_50_a.CEL	haul_0065
NoB14_9_a.CEL	haul_0065
NoB15_11_a.CEL	haul_0057
NoB15_25_a.CEL	haul_0020
NoB15_28_a.CEL	haul_0072
NoB15_2_a.CEL	haul_0047
NoB16_025.CEL	haul_0035
NoB16_026.CEL	haul_0041
NoB16_027.CEL	haul_0060
NoB16_029.CEL	haul_0078
NoB16_034.CEL	haul_0076
NoB16_035.CEL	haul_0014
NoB16_036.CEL	haul_0047
NoB16_037.CEL	haul_0043
NoB16_038.CEL	haul_0073
NoB16_041.CEL	haul_0070
NoB16_043.CEL	haul_0050
NoB16_044.CEL	haul_0055
NoB16_045.CEL	haul_0071
NoB16_046.CEL	haul_0044
NoB16_050.CEL	haul_0019
NoB16_10_a.CEL	haul_0055
NoB16_11_a.CEL	haul_0033
NoB16_12_a.CEL	haul_0018
NoB16_13_a.CEL	haul_0017
NoB16_14_a.CEL	haul_0073
NoB16_15_a.CEL	haul_0039
NoB16_16_a.CEL	haul_0042
NoB16_18_a.CEL	haul_0048
