VCF_ID	BioSample_ID	Capture_Population	Spawning_Ecotype	Phenotype_ID	Population	Simulated_Haul_ID	True_Proportion
Ble01_18_a.CEL	BLE01_18.CEL	BLE01	SPRING	BLE01_SPRING	South	haul_0072	25A_25N_25C_25S
Ble01_19_a.CEL	BLE01_19.CEL	BLE01	SPRING	BLE01_SPRING	South	haul_0008	50A_0N_0C_50S
Ble01_22_a.CEL	BLE01_22.CEL	BLE01	SPRING	BLE01_SPRING	South	haul_0009	50A_0N_0C_50S
Ble01_26_a.CEL	BLE01_26.CEL	BLE01	SPRING	BLE01_SPRING	South	haul_0074	25A_25N_25C_25S
Ble01_28_a.CEL	BLE01_28.CEL	BLE01	SPRING	BLE01_SPRING	South	haul_0005	50A_0N_0C_50S
Ble01_29_a.CEL	BLE01_29.CEL	BLE01	SPRING	BLE01_SPRING	South	haul_0003	50A_0N_0C_50S
Ble01_35_a.CEL	BLE01_35.CEL	BLE01	SPRING	BLE01_SPRING	South	haul_0074	25A_25N_25C_25S
Ble01_37_a.CEL	BLE01_37.CEL	BLE01	SPRING	BLE01_SPRING	South	haul_0071	25A_25N_25C_25S
Ble01_45_a.CEL	BLE01_45.CEL	BLE01	SPRING	BLE01_SPRING	South	haul_0077	25A_25N_25C_25S
Ble01_46_a.CEL	BLE01_46.CEL	BLE01	SPRING	BLE01_SPRING	South	haul_0004	50A_0N_0C_50S
Ble01_4_a.CEL	BLE01_4.CEL	BLE01	SPRING	BLE01_SPRING	South	haul_0010	50A_0N_0C_50S
Ble01_5_a.CEL	BLE01_5.CEL	BLE01	SPRING	BLE01_SPRING	South	haul_0074	25A_25N_25C_25S
Ble01_7_a.CEL	BLE01_7.CEL	BLE01	SPRING	BLE01_SPRING	South	haul_0008	50A_0N_0C_50S
Ble02_23_a.CEL	BLE02_23.CEL	BLE02	SPRING	BLE02_SPRING	South	haul_0010	50A_0N_0C_50S
Ble02_36_a.CEL	BLE02_36.CEL	BLE02	SPRING	BLE02_SPRING	South	haul_0037	50A_16N_17C_17S
Ble02_38_a.CEL	BLE02_38.CEL	BLE02	SPRING	BLE02_SPRING	South	haul_0001	50A_0N_0C_50S
Ble02_41_a.CEL	BLE02_41.CEL	BLE02	SPRING	BLE02_SPRING	South	haul_0006	50A_0N_0C_50S
Ble02_47_a.CEL	BLE02_47.CEL	BLE02	SPRING	BLE02_SPRING	South	haul_0010	50A_0N_0C_50S
Ble02_53_a.CEL	BLE02_53.CEL	BLE02	SPRING	BLE02_SPRING	South	haul_0037	50A_16N_17C_17S
Ble02_56_a.CEL	BLE02_56.CEL	BLE02	SPRING	BLE02_SPRING	South	haul_0075	25A_25N_25C_25S
Ble02_64_a.CEL	BLE02_64.CEL	BLE02	SPRING	BLE02_SPRING	South	haul_0080	25A_25N_25C_25S
Ble02_81_a.CEL	BLE02_81.CEL	BLE02	SPRING	BLE02_SPRING	South	haul_0037	50A_16N_17C_17S
Ble02_83_a.CEL	BLE02_83.CEL	BLE02	SPRING	BLE02_SPRING	South	haul_0002	50A_0N_0C_50S
Ble02_85_a.CEL	BLE02_85.CEL	BLE02	SPRING	BLE02_SPRING	South	haul_0001	50A_0N_0C_50S
Ble02_90_a.CEL	BLE02_90.CEL	BLE02	SPRING	BLE02_SPRING	South	haul_0008	50A_0N_0C_50S
Ble02_95_a.CEL	BLE02_95.CEL	BLE02	SPRING	BLE02_SPRING	South	haul_0035	50A_16N_17C_17S
Ble03_10_a.CEL	BLE03_10.CEL	BLE03	SPRING	BLE03_SPRING	South	haul_0040	50A_16N_17C_17S
Ble03_13_a.CEL	BLE03_13.CEL	BLE03	SPRING	BLE03_SPRING	South	haul_0006	50A_0N_0C_50S
Ble03_15_a.CEL	BLE03_15.CEL	BLE03	SPRING	BLE03_SPRING	South	haul_0004	50A_0N_0C_50S
Ble03_19_a.CEL	BLE03_19.CEL	BLE03	SPRING	BLE03_SPRING	South	haul_0009	50A_0N_0C_50S
Ble03_29_a.CEL	BLE03_29.CEL	BLE03	SPRING	BLE03_SPRING	South	haul_0033	50A_16N_17C_17S
Ble03_31_a.CEL	BLE03_31.CEL	BLE03	SPRING	BLE03_SPRING	South	haul_0005	50A_0N_0C_50S
Ble03_36_a.CEL	BLE03_36.CEL	BLE03	SPRING	BLE03_SPRING	South	haul_0003	50A_0N_0C_50S
Ble03_37_a.CEL	BLE03_37.CEL	BLE03	SPRING	BLE03_SPRING	South	haul_0032	50A_16N_17C_17S
Ble03_39_a.CEL	BLE03_39.CEL	BLE03	SPRING	BLE03_SPRING	South	haul_0008	50A_0N_0C_50S
Ble03_41_a.CEL	BLE03_41.CEL	BLE03	SPRING	BLE03_SPRING	South	haul_0005	50A_0N_0C_50S
Ble03_46_a.CEL	BLE03_46.CEL	BLE03	SPRING	BLE03_SPRING	South	haul_0007	50A_0N_0C_50S
Ble03_4_a.CEL	BLE03_4.CEL	BLE03	SPRING	BLE03_SPRING	South	haul_0071	25A_25N_25C_25S
Ble03_54_a.CEL	BLE03_54.CEL	BLE03	SPRING	BLE03_SPRING	South	haul_0004	50A_0N_0C_50S
Ble03_55_a.CEL	BLE03_55.CEL	BLE03	SPRING	BLE03_SPRING	South	haul_0076	25A_25N_25C_25S
Ble03_59_a.CEL	BLE03_59.CEL	BLE03	SPRING	BLE03_SPRING	South	haul_0080	25A_25N_25C_25S
Ble03_61_a.CEL	BLE03_61.CEL	BLE03	SPRING	BLE03_SPRING	South	haul_0006	50A_0N_0C_50S
Ble03_6_a.CEL	BLE03_6.CEL	BLE03	SPRING	BLE03_SPRING	South	haul_0078	25A_25N_25C_25S
Ble04_20_a.CEL	BLE04_20.CEL	BLE04	SPRING	BLE04_SPRING	South	haul_0075	25A_25N_25C_25S
Ble04_21_a.CEL	BLE04_21.CEL	BLE04	SPRING	BLE04_SPRING	South	haul_0034	50A_16N_17C_17S
Ble04_69_a.CEL	BLE04_69.CEL	BLE04	SPRING	BLE04_SPRING	South	haul_0074	25A_25N_25C_25S
Ble04_6_a.CEL	BLE04_6.CEL	BLE04	SPRING	BLE04_SPRING	South	haul_0001	50A_0N_0C_50S
Ble04_72_a.CEL	BLE04_72.CEL	BLE04	SPRING	BLE04_SPRING	South	haul_0008	50A_0N_0C_50S
Ble04_89_a.CEL	BLE04_89.CEL	BLE04	SPRING	BLE04_SPRING	South	haul_0008	50A_0N_0C_50S
Ble07_21_a.CEL	BLE07_21.CEL	BLE07	SPRING	BLE07_SPRING	Central	haul_0066	33A_33N_33C_0S
Ble09_24_a.CEL	BLE09_24.CEL	BLE09	SPRING	BLE09_SPRING	South	haul_0003	50A_0N_0C_50S
Ble10_16.CEL	BLE10_16.CEL	BLE10	SPRING	BLE10_SPRING	South	haul_0076	25A_25N_25C_25S
Ble10_26.CEL	BLE10_26.CEL	BLE10	SPRING	BLE10_SPRING	South	haul_0073	25A_25N_25C_25S
Ble10_29.CEL	BLE10_29.CEL	BLE10	SPRING	BLE10_SPRING	South	haul_0005	50A_0N_0C_50S
Ble10_31.CEL	BLE10_31.CEL	BLE10	SPRING	BLE10_SPRING	South	haul_0076	25A_25N_25C_25S
Ble10_35.CEL	BLE10_35.CEL	BLE10	SPRING	BLE10_SPRING	South	haul_0076	25A_25N_25C_25S
Ble10_48.CEL	BLE10_48.CEL	BLE10	SPRING	BLE10_SPRING	South	haul_0073	25A_25N_25C_25S
Ble10_6.CEL	BLE10_6.CEL	BLE10	SPRING	BLE10_SPRING	South	haul_0038	50A_16N_17C_17S
Ble10_8.CEL	BLE10_8.CEL	BLE10	SPRING	BLE10_SPRING	South	haul_0039	50A_16N_17C_17S
Ble10_9.CEL	BLE10_9.CEL	BLE10	SPRING	BLE10_SPRING	South	haul_0001	50A_0N_0C_50S
Ble11_13_a.CEL	BLE11_13.CEL	BLE11	SPRING	BLE11_SPRING	South	haul_0031	50A_16N_17C_17S
Ble11_14_a.CEL	BLE11_14.CEL	BLE11	SPRING	BLE11_SPRING	South	haul_0004	50A_0N_0C_50S
Ble11_19_a.CEL	BLE11_19.CEL	BLE11	SPRING	BLE11_SPRING	South	haul_0006	50A_0N_0C_50S
Ble11_1_a.CEL	BLE11_1.CEL	BLE11	SPRING	BLE11_SPRING	South	haul_0036	50A_16N_17C_17S
Ble11_20_a.CEL	BLE11_20.CEL	BLE11	SPRING	BLE11_SPRING	South	haul_0004	50A_0N_0C_50S
Ble11_24_a.CEL	BLE11_24.CEL	BLE11	SPRING	BLE11_SPRING	South	haul_0071	25A_25N_25C_25S
Ble11_28_a.CEL	BLE11_28.CEL	BLE11	SPRING	BLE11_SPRING	South	haul_0006	50A_0N_0C_50S
Ble11_30_a.CEL	BLE11_30.CEL	BLE11	SPRING	BLE11_SPRING	South	haul_0032	50A_16N_17C_17S
Ble11_32_a.CEL	BLE11_32.CEL	BLE11	SPRING	BLE11_SPRING	South	haul_0007	50A_0N_0C_50S
Ble11_33_a.CEL	BLE11_33.CEL	BLE11	SPRING	BLE11_SPRING	South	haul_0039	50A_16N_17C_17S
Ble11_38_a.CEL	BLE11_38.CEL	BLE11	SPRING	BLE11_SPRING	South	haul_0075	25A_25N_25C_25S
Ble11_47_a.CEL	BLE11_47.CEL	BLE11	SPRING	BLE11_SPRING	South	haul_0006	50A_0N_0C_50S
Ble11_49_a.CEL	BLE11_49.CEL	BLE11	SPRING	BLE11_SPRING	South	haul_0007	50A_0N_0C_50S
Ble11_6_a.CEL	BLE11_6.CEL	BLE11	SPRING	BLE11_SPRING	South	haul_0032	50A_16N_17C_17S
Ble11_9_a.CEL	BLE11_9.CEL	BLE11	SPRING	BLE11_SPRING	South	haul_0005	50A_0N_0C_50S
Ble12_14_a.CEL	BLE12_14.CEL	BLE12	SPRING	BLE12_SPRING	South	haul_0080	25A_25N_25C_25S
Ble12_4_a.CEL	BLE12_4.CEL	BLE12	SPRING	BLE12_SPRING	South	haul_0039	50A_16N_17C_17S
Ble13_12_a.CEL	BLE13_12.CEL	BLE13	SPRING	BLE13_SPRING	South	haul_0079	25A_25N_25C_25S
Ble13_13_a.CEL	BLE13_13.CEL	BLE13	SPRING	BLE13_SPRING	South	haul_0009	50A_0N_0C_50S
Ble13_17_a.CEL	BLE13_17.CEL	BLE13	SPRING	BLE13_SPRING	South	haul_0036	50A_16N_17C_17S
Ble13_18_a.CEL	BLE13_18.CEL	BLE13	SPRING	BLE13_SPRING	South	haul_0005	50A_0N_0C_50S
Ble13_24_a.CEL	BLE13_24.CEL	BLE13	SPRING	BLE13_SPRING	South	haul_0009	50A_0N_0C_50S
Ble13_33_a.CEL	BLE13_33.CEL	BLE13	SPRING	BLE13_SPRING	South	haul_0003	50A_0N_0C_50S
Ble13_34_a.CEL	BLE13_34.CEL	BLE13	SPRING	BLE13_SPRING	South	haul_0002	50A_0N_0C_50S
Ble13_9_a.CEL	BLE13_9.CEL	BLE13	SPRING	BLE13_SPRING	South	haul_0073	25A_25N_25C_25S
Ble14_16_a.CEL	BLE14_16.CEL	BLE14	SPRING	BLE14_SPRING	South	haul_0080	25A_25N_25C_25S
Ble14_25_a.CEL	BLE14_25.CEL	BLE14	SPRING	BLE14_SPRING	South	haul_0009	50A_0N_0C_50S
Ble14_3_a.CEL	BLE14_3.CEL	BLE14	SPRING	BLE14_SPRING	South	haul_0004	50A_0N_0C_50S
Ble14_4_a.CEL	BLE14_4.CEL	BLE14	SPRING	BLE14_SPRING	South	haul_0007	50A_0N_0C_50S
Ble14_6_a.CEL	BLE14_6.CEL	BLE14	SPRING	BLE14_SPRING	South	haul_0072	25A_25N_25C_25S
Ble15_27_a.CEL	BLE15_27.CEL	BLE15	SPRING	BLE15_SPRING	South	haul_0072	25A_25N_25C_25S
Ble15_36_a.CEL	BLE15_36.CEL	BLE15	SPRING	BLE15_SPRING	South	haul_0038	50A_16N_17C_17S
Ble15_8_a.CEL	BLE15_8.CEL	BLE15	SPRING	BLE15_SPRING	South	haul_0036	50A_16N_17C_17S
Ble16_19_a.CEL	BLE16_19.CEL	BLE16	SPRING	BLE16_SPRING	South	haul_0034	50A_16N_17C_17S
Ble16_27_a.CEL	BLE16_27.CEL	BLE16	SPRING	BLE16_SPRING	South	haul_0077	25A_25N_25C_25S
Ble16_41_a.CEL	BLE16_41.CEL	BLE16	SPRING	BLE16_SPRING	South	haul_0039	50A_16N_17C_17S
Ble16_47_a.CEL	BLE16_47.CEL	BLE16	SPRING	BLE16_SPRING	South	haul_0001	50A_0N_0C_50S
Ble16_56_a.CEL	BLE16_56.CEL	BLE16	SPRING	BLE16_SPRING	South	haul_0006	50A_0N_0C_50S
Ble17_25.CEL	BLE17_25.CEL	BLE17	SPRING	BLE17_SPRING	South	haul_0079	25A_25N_25C_25S
Ble17_27.CEL	BLE17_27.CEL	BLE17	SPRING	BLE17_SPRING	South	haul_0034	50A_16N_17C_17S
Ble17_35.CEL	BLE17_35.CEL	BLE17	SPRING	BLE17_SPRING	South	haul_0077	25A_25N_25C_25S
Ble17_49.CEL	BLE17_49.CEL	BLE17	SPRING	BLE17_SPRING	South	haul_0037	50A_16N_17C_17S
Ble17_53.CEL	BLE17_53.CEL	BLE17	SPRING	BLE17_SPRING	South	haul_0032	50A_16N_17C_17S
Ble17_55.CEL	BLE17_55.CEL	BLE17	SPRING	BLE17_SPRING	South	haul_0007	50A_0N_0C_50S
Ble17_75.CEL	BLE17_75.CEL	BLE17	SPRING	BLE17_SPRING	South	haul_0080	25A_25N_25C_25S
Ble17_79.CEL	BLE17_79.CEL	BLE17	SPRING	BLE17_SPRING	South	haul_0009	50A_0N_0C_50S
Ble18_11_a.CEL	BLE18_11.CEL	BLE18	SPRING	BLE18_SPRING	South	haul_0034	50A_16N_17C_17S
Ble18_14_a.CEL	BLE18_14.CEL	BLE18	SPRING	BLE18_SPRING	South	haul_0071	25A_25N_25C_25S
Ble18_23_a.CEL	BLE18_23.CEL	BLE18	SPRING	BLE18_SPRING	South	haul_0079	25A_25N_25C_25S
Ble18_3_a.CEL	BLE18_3.CEL	BLE18	SPRING	BLE18_SPRING	South	haul_0010	50A_0N_0C_50S
Ble18_46_a.CEL	BLE18_46.CEL	BLE18	SPRING	BLE18_SPRING	South	haul_0005	50A_0N_0C_50S
Ble18_6_a.CEL	BLE18_6.CEL	BLE18	SPRING	BLE18_SPRING	South	haul_0075	25A_25N_25C_25S
Ble19_18_a.CEL	BLE19_18.CEL	BLE19	SPRING	BLE19_SPRING	South	haul_0080	25A_25N_25C_25S
Ble19_30_a.CEL	BLE19_30.CEL	BLE19	SPRING	BLE19_SPRING	South	haul_0078	25A_25N_25C_25S
Ble20_23_a.CEL	BLE20_23.CEL	BLE20	SPRING	BLE20_SPRING	South	haul_0009	50A_0N_0C_50S
Ble20_26_a.CEL	BLE20_26.CEL	BLE20	SPRING	BLE20_SPRING	South	haul_0072	25A_25N_25C_25S
Ble20_31_a.CEL	BLE20_31.CEL	BLE20	SPRING	BLE20_SPRING	South	haul_0038	50A_16N_17C_17S
Ble20_32_a.CEL	BLE20_32.CEL	BLE20	SPRING	BLE20_SPRING	South	haul_0072	25A_25N_25C_25S
Ble20_40_a.CEL	BLE20_40.CEL	BLE20	SPRING	BLE20_SPRING	South	haul_0001	50A_0N_0C_50S
Ble21_13_a.CEL	BLE21_13.CEL	BLE21	SPRING	BLE21_SPRING	South	haul_0003	50A_0N_0C_50S
Ble21_16_a.CEL	BLE21_16.CEL	BLE21	SPRING	BLE21_SPRING	South	haul_0009	50A_0N_0C_50S
Ble21_21_a.CEL	BLE21_21.CEL	BLE21	SPRING	BLE21_SPRING	South	haul_0010	50A_0N_0C_50S
Ble21_23_a.CEL	BLE21_23.CEL	BLE21	SPRING	BLE21_SPRING	South	haul_0007	50A_0N_0C_50S
Ble21_24_a.CEL	BLE21_24.CEL	BLE21	SPRING	BLE21_SPRING	South	haul_0003	50A_0N_0C_50S
Ble21_28_a.CEL	BLE21_28.CEL	BLE21	SPRING	BLE21_SPRING	South	haul_0008	50A_0N_0C_50S
Ble21_34_a.CEL	BLE21_34.CEL	BLE21	SPRING	BLE21_SPRING	South	haul_0074	25A_25N_25C_25S
Ble21_36_a.CEL	BLE21_36.CEL	BLE21	SPRING	BLE21_SPRING	South	haul_0008	50A_0N_0C_50S
Ble22_12_a.CEL	BLE22_12.CEL	BLE22	SPRING	BLE22_SPRING	South	haul_0003	50A_0N_0C_50S
Ble22_23_a.CEL	BLE22_23.CEL	BLE22	SPRING	BLE22_SPRING	South	haul_0005	50A_0N_0C_50S
Ble22_25_a.CEL	BLE22_25.CEL	BLE22	SPRING	BLE22_SPRING	South	haul_0010	50A_0N_0C_50S
Ble22_30_a.CEL	BLE22_30.CEL	BLE22	SPRING	BLE22_SPRING	South	haul_0007	50A_0N_0C_50S
Ble22_32_a.CEL	BLE22_32.CEL	BLE22	SPRING	BLE22_SPRING	South	haul_0078	25A_25N_25C_25S
Ble22_33_a.CEL	BLE22_33.CEL	BLE22	SPRING	BLE22_SPRING	South	haul_0009	50A_0N_0C_50S
Ble22_36_a.CEL	BLE22_36.CEL	BLE22	SPRING	BLE22_SPRING	South	haul_0008	50A_0N_0C_50S
Ble22_37_a.CEL	BLE22_37.CEL	BLE22	SPRING	BLE22_SPRING	South	haul_0010	50A_0N_0C_50S
Ble22_41_a.CEL	BLE22_41.CEL	BLE22	SPRING	BLE22_SPRING	South	haul_0040	50A_16N_17C_17S
Ble22_45_a.CEL	BLE22_45.CEL	BLE22	SPRING	BLE22_SPRING	South	haul_0008	50A_0N_0C_50S
Ble22_6_a.CEL	BLE22_6.CEL	BLE22	SPRING	BLE22_SPRING	South	haul_0007	50A_0N_0C_50S
Ble23_14_a.CEL	BLE23_14.CEL	BLE23	SPRING	BLE23_SPRING	South	haul_0035	50A_16N_17C_17S
Ble23_1_a.CEL	BLE23_1.CEL	BLE23	SPRING	BLE23_SPRING	South	haul_0009	50A_0N_0C_50S
Ble23_20_a.CEL	BLE23_20.CEL	BLE23	SPRING	BLE23_SPRING	South	haul_0073	25A_25N_25C_25S
Ble23_24_a.CEL	BLE23_24.CEL	BLE23	SPRING	BLE23_SPRING	South	haul_0004	50A_0N_0C_50S
Ble23_26_a.CEL	BLE23_26.CEL	BLE23	SPRING	BLE23_SPRING	South	haul_0001	50A_0N_0C_50S
Ble23_27_a.CEL	BLE23_27.CEL	BLE23	SPRING	BLE23_SPRING	South	haul_0002	50A_0N_0C_50S
Ble23_30_a.CEL	BLE23_30.CEL	BLE23	SPRING	BLE23_SPRING	South	haul_0004	50A_0N_0C_50S
Ble23_33_a.CEL	BLE23_33.CEL	BLE23	SPRING	BLE23_SPRING	South	haul_0002	50A_0N_0C_50S
Ble23_34_a.CEL	BLE23_34.CEL	BLE23	SPRING	BLE23_SPRING	South	haul_0002	50A_0N_0C_50S
Ble23_37_a.CEL	BLE23_37.CEL	BLE23	SPRING	BLE23_SPRING	South	haul_0008	50A_0N_0C_50S
Ble23_44_a.CEL	BLE23_44.CEL	BLE23	SPRING	BLE23_SPRING	South	haul_0008	50A_0N_0C_50S
Ble23_49_a.CEL	BLE23_49.CEL	BLE23	SPRING	BLE23_SPRING	South	haul_0003	50A_0N_0C_50S
Ble23_6_a.CEL	BLE23_6.CEL	BLE23	SPRING	BLE23_SPRING	South	haul_0005	50A_0N_0C_50S
Ble23_8_a.CEL	BLE23_8.CEL	BLE23	SPRING	BLE23_SPRING	South	haul_0008	50A_0N_0C_50S
Ble26_18_a.CEL	BLE26_18.CEL	BLE26	SPRING	BLE26_SPRING	South	haul_0031	50A_16N_17C_17S
Ble26_1_a.CEL	BLE26_1.CEL	BLE26	SPRING	BLE26_SPRING	South	haul_0006	50A_0N_0C_50S
Ble26_20_a.CEL	BLE26_20.CEL	BLE26	SPRING	BLE26_SPRING	South	haul_0072	25A_25N_25C_25S
Ble26_29_a.CEL	BLE26_29.CEL	BLE26	SPRING	BLE26_SPRING	South	haul_0035	50A_16N_17C_17S
Ble26_30_a.CEL	BLE26_30.CEL	BLE26	SPRING	BLE26_SPRING	South	haul_0036	50A_16N_17C_17S
Ble26_34_a.CEL	BLE26_34.CEL	BLE26	SPRING	BLE26_SPRING	South	haul_0040	50A_16N_17C_17S
Ble26_37_a.CEL	BLE26_37.CEL	BLE26	SPRING	BLE26_SPRING	South	haul_0008	50A_0N_0C_50S
Ble26_39_a.CEL	BLE26_39.CEL	BLE26	SPRING	BLE26_SPRING	South	haul_0010	50A_0N_0C_50S
Ble26_43_a.CEL	BLE26_43.CEL	BLE26	SPRING	BLE26_SPRING	South	haul_0035	50A_16N_17C_17S
Ble26_7_a.CEL	BLE26_7.CEL	BLE26	SPRING	BLE26_SPRING	South	haul_0079	25A_25N_25C_25S
Ble26_9_a.CEL	BLE26_9.CEL	BLE26	SPRING	BLE26_SPRING	South	haul_0001	50A_0N_0C_50S
Ble27_10_a.CEL	BLE27_10.CEL	BLE27	SPRING	BLE27_SPRING	South	haul_0002	50A_0N_0C_50S
Ble27_18_a.CEL	BLE27_18.CEL	BLE27	SPRING	BLE27_SPRING	South	haul_0007	50A_0N_0C_50S
Ble27_1_a.CEL	BLE27_1.CEL	BLE27	SPRING	BLE27_SPRING	South	haul_0076	25A_25N_25C_25S
Ble27_23_a.CEL	BLE27_23.CEL	BLE27	SPRING	BLE27_SPRING	South	haul_0002	50A_0N_0C_50S
Ble27_27_a.CEL	BLE27_27.CEL	BLE27	SPRING	BLE27_SPRING	South	haul_0071	25A_25N_25C_25S
Ble27_30_a.CEL	BLE27_30.CEL	BLE27	SPRING	BLE27_SPRING	South	haul_0079	25A_25N_25C_25S
Ble27_36_a.CEL	BLE27_36.CEL	BLE27	SPRING	BLE27_SPRING	South	haul_0036	50A_16N_17C_17S
Ble27_43_a.CEL	BLE27_43.CEL	BLE27	SPRING	BLE27_SPRING	South	haul_0033	50A_16N_17C_17S
Ble27_45_a.CEL	BLE27_45.CEL	BLE27	SPRING	BLE27_SPRING	South	haul_0076	25A_25N_25C_25S
Ble27_46_a.CEL	BLE27_46.CEL	BLE27	SPRING	BLE27_SPRING	South	haul_0005	50A_0N_0C_50S
Ble27_49_a.CEL	BLE27_49.CEL	BLE27	SPRING	BLE27_SPRING	South	haul_0078	25A_25N_25C_25S
Ble27_51_a.CEL	BLE27_51.CEL	BLE27	SPRING	BLE27_SPRING	South	haul_0073	25A_25N_25C_25S
Ble27_7_a.CEL	BLE27_7.CEL	BLE27	SPRING	BLE27_SPRING	South	haul_0008	50A_0N_0C_50S
Ble28_13_a.CEL	BLE28_13.CEL	BLE28	SPRING	BLE28_SPRING	South	haul_0007	50A_0N_0C_50S
Ble28_1_a.CEL	BLE28_1.CEL	BLE28	SPRING	BLE28_SPRING	South	haul_0005	50A_0N_0C_50S
Ble28_24_a.CEL	BLE28_24.CEL	BLE28	SPRING	BLE28_SPRING	South	haul_0071	25A_25N_25C_25S
Ble28_25_a.CEL	BLE28_25.CEL	BLE28	SPRING	BLE28_SPRING	South	haul_0073	25A_25N_25C_25S
Ble28_29_a.CEL	BLE28_29.CEL	BLE28	SPRING	BLE28_SPRING	South	haul_0001	50A_0N_0C_50S
Ble28_37_a.CEL	BLE28_37.CEL	BLE28	SPRING	BLE28_SPRING	South	haul_0010	50A_0N_0C_50S
Ble28_47_a.CEL	BLE28_47.CEL	BLE28	SPRING	BLE28_SPRING	South	haul_0003	50A_0N_0C_50S
Ble28_4_a.CEL	BLE28_4.CEL	BLE28	SPRING	BLE28_SPRING	South	haul_0004	50A_0N_0C_50S
Ble28_52_a.CEL	BLE28_52.CEL	BLE28	SPRING	BLE28_SPRING	South	haul_0031	50A_16N_17C_17S
Ble28_54_a.CEL	BLE28_54.CEL	BLE28	SPRING	BLE28_SPRING	South	haul_0078	25A_25N_25C_25S
Ble28_55_a.CEL	BLE28_55.CEL	BLE28	SPRING	BLE28_SPRING	South	haul_0039	50A_16N_17C_17S
Ble28_5_a.CEL	BLE28_5.CEL	BLE28	SPRING	BLE28_SPRING	South	haul_0075	25A_25N_25C_25S
Ble28_9_a.CEL	BLE28_9.CEL	BLE28	SPRING	BLE28_SPRING	South	haul_0031	50A_16N_17C_17S
Ble29_18.CEL	BLE29_18.CEL	BLE29	SPRING	BLE29_SPRING	South	haul_0009	50A_0N_0C_50S
