haul 0: 0% Autumn, 0% North, 0% Central, 100% South
haul 79: 10% Autumn, 10% North, 30% Central, 50% South
haul 80: 10% Autumn, 10% North, 40% Central, 40% South
haul 81: 10% Autumn, 10% North, 50% Central, 30% South
haul 82: 10% Autumn, 10% North, 60% Central, 20% South
haul 83: 10% Autumn, 10% North, 70% Central, 10% South
haul 84: 10% Autumn, 10% North, 80% Central, 0% South
haul 85: 10% Autumn, 20% North, 0% Central, 70% South
haul 86: 10% Autumn, 20% North, 10% Central, 60% South
haul 87: 10% Autumn, 20% North, 20% Central, 50% South
haul 88: 10% Autumn, 20% North, 30% Central, 40% South
haul 89: 10% Autumn, 20% North, 40% Central, 30% South
haul 90: 10% Autumn, 20% North, 50% Central, 20% South
haul 91: 10% Autumn, 20% North, 60% Central, 10% South
haul 92: 10% Autumn, 20% North, 70% Central, 0% South
haul 93: 10% Autumn, 30% North, 0% Central, 60% South
haul 94: 10% Autumn, 30% North, 10% Central, 50% South
haul 95: 10% Autumn, 30% North, 20% Central, 40% South
haul 96: 10% Autumn, 30% North, 30% Central, 30% South
haul 97: 10% Autumn, 30% North, 40% Central, 20% South
haul 98: 10% Autumn, 30% North, 50% Central, 10% South
haul 99: 10% Autumn, 30% North, 60% Central, 0% South
haul 100: 10% Autumn, 40% North, 0% Central, 50% South
haul 101: 10% Autumn, 40% North, 10% Central, 40% South
haul 102: 10% Autumn, 40% North, 20% Central, 30% South
haul 103: 10% Autumn, 40% North, 30% Central, 20% South
haul 104: 10% Autumn, 40% North, 40% Central, 10% South
haul 105: 10% Autumn, 40% North, 50% Central, 0% South
haul 106: 10% Autumn, 50% North, 0% Central, 40% South
haul 107: 10% Autumn, 50% North, 10% Central, 30% South
haul 108: 10% Autumn, 50% North, 20% Central, 20% South
haul 109: 10% Autumn, 50% North, 30% Central, 10% South
haul 110: 10% Autumn, 50% North, 40% Central, 0% South
haul 111: 10% Autumn, 60% North, 0% Central, 30% South
haul 112: 10% Autumn, 60% North, 10% Central, 20% South
haul 113: 10% Autumn, 60% North, 20% Central, 10% South
haul 114: 10% Autumn, 60% North, 30% Central, 0% South
haul 115: 10% Autumn, 70% North, 0% Central, 20% South
haul 116: 10% Autumn, 70% North, 10% Central, 10% South
haul 117: 10% Autumn, 70% North, 20% Central, 0% South
haul 118: 10% Autumn, 80% North, 0% Central, 10% South
haul 119: 10% Autumn, 80% North, 10% Central, 0% South
haul 120: 10% Autumn, 90% North, 0% Central, 0% South
haul 121: 20% Autumn, 0% North, 0% Central, 80% South
haul 122: 20% Autumn, 0% North, 10% Central, 70% South
haul 123: 20% Autumn, 0% North, 20% Central, 60% South
haul 124: 20% Autumn, 0% North, 30% Central, 50% South
haul 125: 20% Autumn, 0% North, 40% Central, 40% South
haul 126: 20% Autumn, 0% North, 50% Central, 30% South
haul 127: 20% Autumn, 0% North, 60% Central, 20% South
haul 128: 20% Autumn, 0% North, 70% Central, 10% South
haul 129: 20% Autumn, 0% North, 80% Central, 0% South
haul 130: 20% Autumn, 10% North, 0% Central, 70% South
haul 131: 20% Autumn, 10% North, 10% Central, 60% South
haul 132: 20% Autumn, 10% North, 20% Central, 50% South
haul 133: 20% Autumn, 10% North, 30% Central, 40% South
haul 134: 20% Autumn, 10% North, 40% Central, 30% South
haul 135: 20% Autumn, 10% North, 50% Central, 20% South
haul 136: 20% Autumn, 10% North, 60% Central, 10% South
haul 137: 20% Autumn, 10% North, 70% Central, 0% South
haul 138: 20% Autumn, 20% North, 0% Central, 60% South
haul 139: 20% Autumn, 20% North, 10% Central, 50% South
haul 140: 20% Autumn, 20% North, 20% Central, 40% South
haul 141: 20% Autumn, 20% North, 30% Central, 30% South
haul 142: 20% Autumn, 20% North, 40% Central, 20% South
haul 143: 20% Autumn, 20% North, 50% Central, 10% South
haul 144: 20% Autumn, 20% North, 60% Central, 0% South
haul 145: 20% Autumn, 30% North, 0% Central, 50% South
haul 146: 20% Autumn, 30% North, 10% Central, 40% South
haul 147: 20% Autumn, 30% North, 20% Central, 30% South
haul 148: 20% Autumn, 30% North, 30% Central, 20% South
haul 149: 20% Autumn, 30% North, 40% Central, 10% South
haul 150: 20% Autumn, 30% North, 50% Central, 0% South
haul 151: 20% Autumn, 40% North, 0% Central, 40% South
haul 152: 20% Autumn, 40% North, 10% Central, 30% South
haul 153: 20% Autumn, 40% North, 20% Central, 20% South
haul 154: 20% Autumn, 40% North, 30% Central, 10% South
haul 155: 20% Autumn, 40% North, 40% Central, 0% South
haul 156: 20% Autumn, 50% North, 0% Central, 30% South
haul 157: 20% Autumn, 50% North, 10% Central, 20% South
haul 158: 20% Autumn, 50% North, 20% Central, 10% South
haul 159: 20% Autumn, 50% North, 30% Central, 0% South
haul 160: 20% Autumn, 60% North, 0% Central, 20% South
haul 161: 20% Autumn, 60% North, 10% Central, 10% South
haul 162: 20% Autumn, 60% North, 20% Central, 0% South
haul 163: 20% Autumn, 70% North, 0% Central, 10% South
haul 164: 20% Autumn, 70% North, 10% Central, 0% South
haul 165: 20% Autumn, 80% North, 0% Central, 0% South
haul 166: 30% Autumn, 0% North, 0% Central, 70% South
haul 167: 30% Autumn, 0% North, 10% Central, 60% South
haul 168: 30% Autumn, 0% North, 20% Central, 50% South
haul 169: 30% Autumn, 0% North, 30% Central, 40% South
haul 170: 30% Autumn, 0% North, 40% Central, 30% South
haul 171: 30% Autumn, 0% North, 50% Central, 20% South
haul 172: 30% Autumn, 0% North, 60% Central, 10% South
haul 173: 30% Autumn, 0% North, 70% Central, 0% South
haul 174: 30% Autumn, 10% North, 0% Central, 60% South
haul 175: 30% Autumn, 10% North, 10% Central, 50% South
haul 176: 30% Autumn, 10% North, 20% Central, 40% South
haul 177: 30% Autumn, 10% North, 30% Central, 30% South
haul 178: 30% Autumn, 10% North, 40% Central, 20% South
haul 179: 30% Autumn, 10% North, 50% Central, 10% South
haul 180: 30% Autumn, 10% North, 60% Central, 0% South
haul 181: 30% Autumn, 20% North, 0% Central, 50% South
haul 182: 30% Autumn, 20% North, 10% Central, 40% South
haul 183: 30% Autumn, 20% North, 20% Central, 30% South
haul 184: 30% Autumn, 20% North, 30% Central, 20% South
haul 185: 30% Autumn, 20% North, 40% Central, 10% South
haul 186: 30% Autumn, 20% North, 50% Central, 0% South
haul 187: 30% Autumn, 30% North, 0% Central, 40% South
haul 188: 30% Autumn, 30% North, 10% Central, 30% South
haul 189: 30% Autumn, 30% North, 20% Central, 20% South
haul 190: 30% Autumn, 30% North, 30% Central, 10% South
haul 191: 30% Autumn, 30% North, 40% Central, 0% South
haul 192: 30% Autumn, 40% North, 0% Central, 30% South
haul 193: 30% Autumn, 40% North, 10% Central, 20% South
haul 194: 30% Autumn, 40% North, 20% Central, 10% South
haul 195: 30% Autumn, 40% North, 30% Central, 0% South
haul 196: 30% Autumn, 50% North, 0% Central, 20% South
haul 197: 30% Autumn, 50% North, 10% Central, 10% South
haul 198: 30% Autumn, 50% North, 20% Central, 0% South
haul 199: 30% Autumn, 60% North, 0% Central, 10% South
haul 200: 30% Autumn, 60% North, 10% Central, 0% South
haul 201: 30% Autumn, 70% North, 0% Central, 0% South
haul 202: 40% Autumn, 0% North, 0% Central, 60% South
haul 203: 40% Autumn, 0% North, 10% Central, 50% South
haul 204: 40% Autumn, 0% North, 20% Central, 40% South
haul 205: 40% Autumn, 0% North, 30% Central, 30% South
haul 206: 40% Autumn, 0% North, 40% Central, 20% South
haul 207: 40% Autumn, 0% North, 50% Central, 10% South
haul 208: 40% Autumn, 0% North, 60% Central, 0% South
haul 209: 40% Autumn, 10% North, 0% Central, 50% South
haul 210: 40% Autumn, 10% North, 10% Central, 40% South
haul 211: 40% Autumn, 10% North, 20% Central, 30% South
haul 212: 40% Autumn, 10% North, 30% Central, 20% South
haul 213: 40% Autumn, 10% North, 40% Central, 10% South
haul 214: 40% Autumn, 10% North, 50% Central, 0% South
haul 215: 40% Autumn, 20% North, 0% Central, 40% South
haul 216: 40% Autumn, 20% North, 10% Central, 30% South
haul 217: 40% Autumn, 20% North, 20% Central, 20% South
haul 218: 40% Autumn, 20% North, 30% Central, 10% South
haul 219: 40% Autumn, 20% North, 40% Central, 0% South
haul 220: 40% Autumn, 30% North, 0% Central, 30% South
haul 221: 40% Autumn, 30% North, 10% Central, 20% South
haul 222: 40% Autumn, 30% North, 20% Central, 10% South
haul 223: 40% Autumn, 30% North, 30% Central, 0% South
haul 224: 40% Autumn, 40% North, 0% Central, 20% South
haul 225: 40% Autumn, 40% North, 10% Central, 10% South
haul 226: 40% Autumn, 40% North, 20% Central, 0% South
haul 227: 40% Autumn, 50% North, 0% Central, 10% South
haul 228: 40% Autumn, 50% North, 10% Central, 0% South
haul 229: 40% Autumn, 60% North, 0% Central, 0% South
haul 230: 50% Autumn, 0% North, 0% Central, 50% South
haul 231: 50% Autumn, 0% North, 10% Central, 40% South
haul 232: 50% Autumn, 0% North, 20% Central, 30% South
haul 233: 50% Autumn, 0% North, 30% Central, 20% South
haul 234: 50% Autumn, 0% North, 40% Central, 10% South
haul 235: 50% Autumn, 0% North, 50% Central, 0% South
haul 236: 50% Autumn, 10% North, 0% Central, 40% South
haul 237: 50% Autumn, 10% North, 10% Central, 30% South
haul 238: 50% Autumn, 10% North, 20% Central, 20% South
haul 239: 50% Autumn, 10% North, 30% Central, 10% South
haul 240: 50% Autumn, 10% North, 40% Central, 0% South
haul 241: 50% Autumn, 20% North, 0% Central, 30% South
haul 242: 50% Autumn, 20% North, 10% Central, 20% South
haul 243: 50% Autumn, 20% North, 20% Central, 10% South
haul 244: 50% Autumn, 20% North, 30% Central, 0% South
haul 245: 50% Autumn, 30% North, 0% Central, 20% South
haul 246: 50% Autumn, 30% North, 10% Central, 10% South
haul 247: 50% Autumn, 30% North, 20% Central, 0% South
haul 248: 50% Autumn, 40% North, 0% Central, 10% South
haul 249: 50% Autumn, 40% North, 10% Central, 0% South
haul 250: 50% Autumn, 50% North, 0% Central, 0% South
haul 251: 60% Autumn, 0% North, 0% Central, 40% South
haul 252: 60% Autumn, 0% North, 10% Central, 30% South
haul 253: 60% Autumn, 0% North, 20% Central, 20% South
haul 254: 60% Autumn, 0% North, 30% Central, 10% South
haul 255: 60% Autumn, 0% North, 40% Central, 0% South
haul 256: 60% Autumn, 10% North, 0% Central, 30% South
haul 257: 60% Autumn, 10% North, 10% Central, 20% South
haul 258: 60% Autumn, 10% North, 20% Central, 10% South
haul 259: 60% Autumn, 10% North, 30% Central, 0% South
haul 260: 60% Autumn, 20% North, 0% Central, 20% South
haul 261: 60% Autumn, 20% North, 10% Central, 10% South
haul 262: 60% Autumn, 20% North, 20% Central, 0% South
haul 263: 60% Autumn, 30% North, 0% Central, 10% South
haul 264: 60% Autumn, 30% North, 10% Central, 0% South
haul 265: 60% Autumn, 40% North, 0% Central, 0% South
haul 266: 70% Autumn, 0% North, 0% Central, 30% South
haul 267: 70% Autumn, 0% North, 10% Central, 20% South
haul 268: 70% Autumn, 0% North, 20% Central, 10% South
haul 269: 70% Autumn, 0% North, 30% Central, 0% South
haul 270: 70% Autumn, 10% North, 0% Central, 20% South
haul 271: 70% Autumn, 10% North, 10% Central, 10% South
haul 272: 70% Autumn, 10% North, 20% Central, 0% South
haul 273: 70% Autumn, 20% North, 0% Central, 10% South
haul 274: 70% Autumn, 20% North, 10% Central, 0% South
haul 275: 70% Autumn, 30% North, 0% Central, 0% South
haul 276: 80% Autumn, 0% North, 0% Central, 20% South
haul 277: 80% Autumn, 0% North, 10% Central, 10% South
haul 278: 80% Autumn, 0% North, 20% Central, 0% South
haul 279: 80% Autumn, 10% North, 0% Central, 10% South
haul 280: 80% Autumn, 10% North, 10% Central, 0% South
haul 281: 80% Autumn, 20% North, 0% Central, 0% South
haul 282: 90% Autumn, 0% North, 0% Central, 10% South
haul 283: 90% Autumn, 0% North, 10% Central, 0% South
haul 284: 90% Autumn, 10% North, 0% Central, 0% South
haul 285: 100% Autumn, 0% North, 0% Central, 0% South
